Date,open_interest_divergence.20,momentum.20,carry.20,retail_flow.20,foundational.20
01/01/2020,,0,,,0.00%
02/01/2020,,-0.017379753,,,-1.74%
03/01/2020,,0.010515478,,,1.05%
04/01/2020,,0.000468043,,,0.05%
05/01/2020,,0.002895529,,,0.29%
06/01/2020,,-0.018713379,,,-1.87%
07/01/2020,,-0.023185442,,,-2.32%
08/01/2020,,0.008044062,,,0.80%
09/01/2020,,0.019493175,,,1.95%
10/01/2020,,0.066398603,,,6.64%
11/01/2020,,-0.003769404,,,-0.38%
12/01/2020,,0.00863595,,,0.86%
13/01/2020,,-0.005832785,,,-0.58%
14/01/2020,,0.090895273,,,9.09%
15/01/2020,,0.037557385,,,3.76%
16/01/2020,,-0.033665784,,,-3.37%
17/01/2020,,0.009811714,,,0.98%
18/01/2020,,0.003242564,,,0.32%
19/01/2020,,-0.010516117,,,-1.05%
20/01/2020,,-0.000300325,,,-0.03%
21/01/2020,,0.003864489,,,0.39%
22/01/2020,,-0.014249212,,,-1.42%
23/01/2020,,-0.014298137,,,-1.43%
24/01/2020,,-0.001149023,,,-0.11%
25/01/2020,,-0.016756053,,,-1.68%
26/01/2020,,0.013381831,,,1.34%
27/01/2020,,0.021906961,,,2.19%
28/01/2020,,0.016755474,,,1.68%
29/01/2020,,0.024089112,,,2.41%
30/01/2020,,0.033949627,,,3.39%
31/01/2020,,-0.020338418,,,-2.03%
01/02/2020,,0.008309808,,,0.83%
02/02/2020,,-0.006166212,,,-0.62%
03/02/2020,,0.000296756,,,0.03%
04/02/2020,,-0.026781283,,,-2.68%
05/02/2020,,0.031633449,,,3.16%
06/02/2020,,-0.028580473,,,-2.86%
07/02/2020,,-0.052594262,,,-5.26%
08/02/2020,,0.028331521,,,2.83%
09/02/2020,,-0.023665701,,,-2.37%
10/02/2020,,0.020125313,,,2.01%
11/02/2020,,-0.019070103,,,-1.91%
12/02/2020,,-0.028896907,,,-2.89%
13/02/2020,,-0.025456717,,,-2.55%
14/02/2020,,0.038116094,,,3.81%
15/02/2020,,0.001315353,,,0.13%
16/02/2020,,0.032540505,,,3.25%
17/02/2020,,-0.020713937,,,-2.07%
18/02/2020,,0.023135685,,,2.31%
19/02/2020,,-0.000702104,,,-0.07%
20/02/2020,,-0.013049435,,,-1.30%
21/02/2020,,-0.023923831,,,-2.39%
22/02/2020,,-0.019986321,,,-2.00%
23/02/2020,,0.011449462,,,1.14%
24/02/2020,,-0.016053512,,,-1.61%
25/02/2020,,-0.041406526,,,-4.14%
26/02/2020,,0.01282496,,,1.28%
27/02/2020,,0.00902323,,,0.90%
28/02/2020,,0.015218307,,,1.52%
29/02/2020,,0.003209345,,,0.32%
01/03/2020,,-0.035738694,,,-3.57%
02/03/2020,,0.006381716,,,0.64%
03/03/2020,,0.005404507,,,0.54%
04/03/2020,,0.033175308,,,3.32%
05/03/2020,,-0.002396617,,,-0.24%
06/03/2020,,0.005435087,,,0.54%
07/03/2020,,-0.003490371,,,-0.35%
08/03/2020,0,-0.02091092,,,-2.09%
09/03/2020,-0.007406005,-0.014155859,,,-1.42%
10/03/2020,0.004388758,0.005019208,,,0.50%
11/03/2020,0.001515297,-0.009126961,,,-0.91%
12/03/2020,0.094984594,-0.12867564,,,-12.87%
13/03/2020,-0.042571113,0.047131105,,,4.71%
14/03/2020,0.008025947,-0.042432198,,,-4.24%
15/03/2020,-0.019659616,-0.013375114,,,-1.34%
16/03/2020,0.016836854,-0.024558629,,,-2.46%
17/03/2020,-0.002308881,0.003529707,,,0.35%
18/03/2020,-0.001467798,-0.072823287,,,-7.28%
19/03/2020,0.015725541,-0.014472137,,,-1.45%
20/03/2020,0.003834477,-0.014002192,,,-1.40%
21/03/2020,-0.009556128,0.003333555,,,0.33%
22/03/2020,-0.011871613,0.017403862,,,1.74%
23/03/2020,0.018855243,-0.026523342,,,-2.65%
24/03/2020,-0.003988095,-0.004281778,,,-0.43%
25/03/2020,0.001863247,0.00725704,,,0.73%
26/03/2020,-5.89E-05,0.014024711,,,1.40%
27/03/2020,-0.00271113,0.024672311,,,2.47%
28/03/2020,0.000590281,-0.012140756,,,-1.21%
29/03/2020,-0.021666595,-0.011795742,,,-1.18%
30/03/2020,0.015460936,0.000433189,,,0.04%
31/03/2020,0.01456043,-0.006476644,,,-0.65%
01/04/2020,-0.005886364,0.006579586,,,0.66%
02/04/2020,-0.003653181,0.007381842,,,0.74%
03/04/2020,-0.002389166,0.006459435,,,0.65%
04/04/2020,0.000877695,-0.000991016,,,-0.10%
05/04/2020,-0.006588213,-0.009580995,,,-0.96%
06/04/2020,-0.004445503,-0.026089139,0,,-2.63%
07/04/2020,-0.005850876,-0.032637365,-0.008732699,,-3.49%
08/04/2020,-0.00048919,-0.018459114,-0.047444004,,-5.01%
09/04/2020,0.031031859,-0.020125446,0.001545388,,-1.48%
10/04/2020,-0.008678899,0.020014186,0.026662732,,2.42%
11/04/2020,0.010381578,0.005489211,-0.005841982,,-0.08%
12/04/2020,-0.004775361,0.003789466,0.009124428,,0.76%
13/04/2020,0.006864254,0.016047217,0.003530003,,2.43%
14/04/2020,-0.000106668,-0.006040155,-0.012627537,,-1.46%
15/04/2020,0.003048852,-0.003581449,-0.000395417,,0.22%
16/04/2020,-0.018830825,0.003747835,-0.011027774,,-3.09%
17/04/2020,-0.001809349,0.008226212,0.000405081,,0.87%
18/04/2020,-0.013424672,0.016175228,-0.000789748,,0.26%
19/04/2020,0.01449284,0.002945297,-0.003311024,,0.99%
20/04/2020,0.012083689,-0.010397528,-0.003313447,,0.32%
21/04/2020,0.003052837,0.009569935,0.001057244,,0.95%
22/04/2020,0.007508161,0.016581384,-0.003197028,,0.69%
23/04/2020,0.022436012,0.01450003,0.015155816,,2.71%
24/04/2020,0.014159813,-0.002175869,-0.051988615,,-2.76%
25/04/2020,0.004578106,0.005974739,-0.015950157,,-0.72%
26/04/2020,0.013663247,-0.004715613,-0.01682501,,-2.00%
27/04/2020,0.013568705,0.00258545,0.034821347,,2.16%
28/04/2020,-0.004888869,-0.020435503,0.004245014,,-1.82%
29/04/2020,-0.006762094,-0.010331176,0.021466911,,0.78%
30/04/2020,-0.006133982,-0.012685122,0.004400648,,-0.04%
01/05/2020,0.008495765,0.019540148,0.017372191,,2.16%
02/05/2020,-0.016851735,-0.009538401,0.008539001,,-0.79%
03/05/2020,0.000157466,-0.004539046,0.002617696,,0.12%
04/05/2020,0.00766274,0.017392234,0.007208868,,1.70%
05/05/2020,-0.002153647,-0.003123004,0.002430842,,0.10%
06/05/2020,0.006521152,0.005197441,0.007785989,,1.12%
